"team_A","team_B","winner"
"KOI","Giants Gaming","0"
"Team Liquid","Karmine Corp","1"
"FNATIC","Team Heretics","1"
"Natus Vincere","BBL Esports","1"
"Team Vitality","FUT Esports","0"
"Team Heretics","Karmine Corp","1"
"FNATIC","BBL Esports","1"
"KOI","Team Vitality","0"
"Team Liquid","FUT Esports","1"
"BBL Esports","Karmine Corp","0"
"Natus Vincere","Giants Gaming","1"
"Team Liquid","Team Vitality","0"
"Team Heretics","FUT Esports","0"
"FNATIC","Giants Gaming","1"
"KOI","Natus Vincere","1"
"Evil Geniuses","100 Thieves","0"
"MIBR","KRÜ Esports","1"
"NRG Esports","Sentinels","1"
"Leviatan","FURIA","0"
"Cloud 9","LOUD","0"
"Leviatan","NRG Esports","1"
"Evil Geniuses","Cloud 9","0"
"LOUD","MIBR","1"
"KRÜ Esports","FURIA","0"
"Sentinels","100 Thieves","1"
